id,text,length,races,difficulty_rating,top_score,top_100,average,active_since,top_score_user
3550582,Everything will continue eternally by performing repetition....,831,3626,0.959,191.2,161.84,99.58,2017-12-11,arenasnow
3550583,"Here I come, rougher than the rest of them. The best of them...",167,4939,0.893,216.53,134.77,60.59,2017-12-10,joshua728
3550584,Can't hold on much longer. But I will never let go! I know i...,272,7822,0.947,199.52,159.25,83.44,2017-12-10,arenasnow
3550585,"I'm a Barbie girl, in the Barbie world. Life in plastic, it'...",186,7236,0.899,195.86,155.64,78.2,2017-12-10,arenasnow
3550586,I'm a beatbox rocker. And you're dancing to my beat. I'm a b...,208,8798,0.968,256.18,171.51,83.76,2017-12-10,joshua728
3550587,"Well, now, don't you tell me to smile. You stick around I'll...",601,2525,0.889,214.56,149.27,92.26,2017-12-11,joshua728
3550588,One more turn and I'll settle the score. A rubber fire screa...,156,23089,1.083,226.72,185.54,88.38,2017-12-10,slekap
3550589,"Final lap, I'm on top of the world, and I will never rest fo...",452,3569,0.989,224.47,164.45,101.18,2017-12-10,joshua728
3550590,"What were you thinking, telling me to change my game? This s...",467,8537,1.038,220.08,172.97,102.23,2017-12-10,quitless
3550591,I got out my map and chose a place I wanted to go to (packed...,576,2006,0.905,205.51,145.39,94.71,2017-12-11,joshua728
3550592,Can you feel the sunshine? Does it brighten up your day? Don...,227,20030,1.095,229.64,190.3,91.99,2017-12-10,joshunq
3550593,"King Harkinian: Zelda, Duke Onkled is under attack by the ev...",520,1346,0.81,180.92,136.66,87.53,2017-12-10,joshua728
3550594,You dare bring light to my lair? You must die!,46,6262,0.825,223.3,189.26,105.44,2017-12-11,joshua728
3550595,"Lamp oil? Rope? Bombs? You want it? It's yours, my friend, a...",93,2086,0.756,220.12,162.1,53.09,2017-12-11,joshua728
3550596,"Sorry, Link. I can't give credit. Come back when you're a li...",84,1605,0.795,183.07,138.9,60.11,2017-12-11,deroche1
3550597,Ah-ha! There's the problem: Too many toasters! You know what...,98,7370,0.769,200.27,147.06,64.67,2017-12-10,joshua728
3550598,He never did... anything that was... illegal... Unless you c...,111,4871,0.93,204.8,134.58,64.05,2017-12-11,joshua728
3550599,"Sucker play or not, I must have turned her on somethin' fier...",272,5733,0.889,213.54,150.73,80.27,2017-12-10,joshua728
3550600,"But I had a point here. A lesson, if you will. There are oth...",335,17716,1.025,210.81,179.6,85.63,2017-12-10,quitless
3550601,"My milkshake brings all the boys to the yard, and they're li...",161,2054,0.907,198.95,143.39,54.99,2017-12-10,arenasnow
3550602,"Teenage Mutant Ninja Turtles, Teenage Mutant Ninja Turtles, ...",127,4479,0.777,197.0,138.98,65.79,2017-12-10,joshua728
3550603,"And so, having defeated the nefarious Psy-crow, our hero, Ea...",475,2467,0.872,192.09,143.98,90.26,2017-12-10,arenasnow
3550604,The year 1997 has arrived. A herd of ugly reds are rushing f...,438,2409,0.845,186.32,138.93,86.95,2017-12-11,typos_z
3550605,Dwayne Elizondo Camacho... Five-time Ultimate Smackdown cham...,122,1079,0.759,187.04,126.44,50.88,2017-12-10,joshua728
3550606,"Joe: For the last time, I'm pretty sure what's killing the c...",325,4782,0.856,192.3,141.54,76.98,2017-12-10,joshua728
3550607,The year 1939 when Charlie Chaplin and his evil nazi regime ...,198,6358,0.846,196.82,148.13,72.19,2017-12-10,joshua728
3550608,Now I understand everyone's crap's emotional right now. But ...,564,1523,0.826,187.26,140.03,89.61,2017-12-10,joshua728
3550609,I'll solve equations with my right hand and write names with...,106,1407,0.809,206.29,140.69,54.21,2017-12-11,arenasnow
3550610,Only I could do it! I was well aware that killing people is ...,396,3735,0.982,223.04,160.62,99.56,2017-12-10,joshua728
3550611,"No. You're just a murderer, Light Yagami. And this notebook ...",339,6564,0.99,232.13,166.07,89.33,2017-12-10,chakk
3550612,"Don't worry, Commander Rester, making assumptions is part of...",125,1906,0.843,200.29,135.85,51.95,2017-12-10,joshua728
3550613,"No matter what the world is, the god of that world creates t...",198,21820,1.053,205.79,171.3,84.95,2017-12-10,joshua728
3550614,You're asking me why? I did it 'cause I was bored.,50,4752,0.859,249.38,203.05,122.49,2017-12-10,joshua728
3550615,I just can't sit any other way than this. If I sit the way o...,110,2049,0.853,225.22,156.83,55.04,2017-12-12,joshua728
3550616,"This world is rotten, and those who are making it rot deserv...",541,3831,0.977,198.07,159.66,100.33,2017-12-11,joshua728
3550617,Let's just say this: you will feel the fear and pain known o...,293,16753,1.047,215.18,179.65,90.99,2017-12-10,slekap
3550618,The human whose name is written in this note shall die.,55,4352,1.019,253.55,209.24,125.6,2017-12-10,joshua728
3550619,The human whose name is written in this note shall die. This...,229,20883,1.088,221.45,184.7,90.61,2017-12-10,joshua728
3550620,If the cause of death is written within 40 seconds of writin...,289,9512,1.035,217.37,176.15,100.61,2017-12-10,joshua728
3550621,If the time of death is written within 40 seconds after writ...,213,20440,1.071,223.8,182.27,88.99,2017-12-10,arenasnow
3550622,"In the end, L is indeed the greatest detective on earth...",58,3002,0.9,208.7,175.44,94.49,2017-12-10,joshua728
3550623,"Aladeen: Hey, do you remember my favorite sports car? Nadal:...",828,1342,0.808,173.22,136.08,89.55,2017-12-10,slekap
3550624,Waiter: What is your name? Aladeen: Allison Burgers. Waiter:...,547,1295,0.749,164.61,130.19,82.0,2017-12-12,joshua728
3550625,Slade: Who are you? Osama Bin Laden's best friend? Aladeen: ...,391,3108,0.965,192.38,157.44,98.76,2017-12-10,arenasnow
3550626,"Now if there's one thing you can be sure of, it's that nothi...",269,6700,0.928,207.59,160.78,84.05,2017-12-10,chakk
3550627,"When you meet the right person, you know it. You can't stop ...",220,22548,1.121,251.67,199.54,95.37,2017-12-10,joshua728
3550628,PETITION: to make whiney congressmen play violent video games.,62,3150,0.783,228.99,183.23,96.34,2017-12-12,joshua728
3550629,"Bless me father, for I have really sinned. Really. I'm not k...",84,1559,0.876,230.03,167.04,79.31,2017-12-11,joshua728
3550630,"Ooh, Krotchy gets his own day. Why do I suspect the mayor ow...",89,1175,0.794,196.98,140.62,56.16,2017-12-10,joshua728
3550631,Today's the first day of the end of your lives.,47,7187,1.074,299.2,245.02,135.85,2017-12-10,joshua728
3550632,"Hmm, looks like the chad is still hanging on that one, but I...",85,2637,0.935,250.31,178.06,71.95,2017-12-10,joshua728
3550633,Games are bad. They make you mad. Games are bad. They make y...,101,23619,1.083,264.4,206.36,89.28,2017-12-10,slowaccount
3550634,It's time to kick ass and chew bubble gum... and I'm all out...,67,2599,0.866,211.08,170.86,93.37,2017-12-11,joshua728
3550635,"All right, you primitive screw-heads, listen up! See this? T...",424,1457,0.797,188.3,136.56,86.02,2017-12-12,joshua728
3550636,"Every night, I live and die, feel the party to my bones. Wat...",169,21370,1.029,214.54,174.91,82.98,2017-12-10,iamtyperacer
3550637,"She was calling to him, inviting him, murmuring in his ear. ...",247,7825,0.996,203.46,165.72,91.2,2017-12-11,chakk
3550638,"I'm taking over my body. Back in control, no more shotty. I ...",404,6710,0.965,206.59,163.24,87.9,2017-12-10,chakk
3550639,The fairy Navi awakens Link from a nightmare in which he wit...,463,2755,0.896,187.89,150.17,92.49,2017-12-10,arenasnow
3550640,"Mr. Hodge began explaining the point of the hike, something ...",363,5888,0.971,214.71,165.44,88.66,2017-12-10,arenasnow
3550641,"The Pied Piper, he thought. He and Katherine had a book of f...",463,3443,0.987,226.99,162.26,100.88,2017-12-11,joshua728
3550642,So they stood at the edge of the woods while all the other k...,177,10778,1.038,213.66,135.55,67.03,2017-12-10,arenasnow
3550643,"Despairing, Jonah trudged forward. He could see the other ki...",277,7672,0.965,216.87,163.2,83.12,2017-12-10,joshua728
3550644,Did those words sound ominous to anyone else? Jonah looked a...,170,9234,0.986,208.55,167.88,86.75,2017-12-10,arenasnow
3550645,"""Oh, I almost forgot,"" he said. ""There's a really interestin...",440,3097,0.976,193.15,157.86,100.38,2017-12-10,arenasnow
3550646,"Instantly, he felt humiliated for saying that - how nerdy co...",222,7496,0.922,205.14,157.74,80.2,2017-12-10,joshua728
3550647,It wasn't dark beyond the cave door - darkness would be some...,203,19634,1.038,401.12,187.79,87.94,2017-12-10,iggy6969
3550648,"Nothing. It was like being deep in outer space, so far away ...",117,2098,0.951,213.44,161.96,60.77,2017-12-11,joshua728
3550649,"Oh, we knew we couldn't save everyone. Much as we would have...",399,2860,0.88,197.56,145.64,90.42,2017-12-10,joshua728
3550650,"And, thus, we could transform those dark days of humanity in...",120,20294,0.933,218.15,174.1,74.27,2017-12-10,joshua728
3550651,"Life is to be lived, not controlled; and humanity is won by ...",105,1282,0.949,254.75,145.9,62.97,2017-12-11,joshua728
3550652,"So we finish 18 and he's gonna stiff me. And I say, 'Hey, La...",301,5000,0.877,206.83,151.03,80.16,2017-12-10,joshua728
3550653,"Empire had the better ending. I mean, Luke gets his hand cut...",261,7007,0.953,192.71,160.1,86.76,2017-12-10,arenasnow
3550654,"Dear Theodosia, what to say to you? You have my eyes, you ha...",218,8018,0.989,227.36,170.25,85.75,2017-12-10,joshua728
3550655,Well the years start coming and they don't stop coming. Fed ...,338,8660,1.02,209.68,139.59,69.65,2017-12-10,joshua728
3550656,"When I see you, the whole world reduces to just that room. A...",244,8524,0.968,211.38,163.97,84.99,2017-12-10,joshua728
3550657,Did you think I was a city big enough for a weekend getaway?...,357,3856,0.967,199.61,160.64,99.82,2017-12-10,arenasnow
3550659,I can fly like an eagle and strike like a hawk.,47,5983,1.015,275.93,219.51,124.59,2017-12-10,joshua728
3550660,"What is the answer? In that case, what is the question?",55,3926,0.892,254.73,197.22,120.84,2017-12-13,slowaccount
3550661,If you ain't true to yourself then you ain't true to nobody.,60,3378,0.885,278.85,218.39,125.41,2017-12-10,keegant
3550662,Zis tank is ze ultimate veapon. You vill not vin!,49,3599,0.817,256.32,201.99,116.68,2017-12-11,joshua728
3550663,...and PRESTO!! The cup has completely disappeared.,51,2240,0.769,208.73,178.95,107.2,2017-12-12,joshua728
3550664,The derby is over and the results are in. Last place... YOU!,60,3007,0.848,235.22,191.09,117.21,2017-12-10,joshua728
3550665,"Crude and bad, 'cause we're from the wrong side of the lily ...",64,2523,0.91,256.6,199.57,121.12,2017-12-11,joshua728
3550666,"Delicious and vicious, while maliciously nutritious.",52,2469,0.793,250.5,191.57,109.75,2017-12-11,joshua728
3550667,Don't m-m-m-misunderstand my flames - I just meant fun and g...,65,1217,0.81,246.84,174.18,105.73,2017-12-10,slekap
3550668,"By venturing too close to the dragon's flame, you made an as...",78,1861,0.907,217.73,173.71,86.84,2017-12-10,flaneur
3550669,The old gnome tells you that he has something that may be ve...,334,1996,0.802,188.01,135.98,84.24,2017-12-10,deroche1
3550670,"The wonder is, not that the field of stars is so vast, but t...",84,5102,1.045,229.61,180.01,65.49,2017-12-10,slowaccount
3550671,The ancient Oracle said that I was the wisest of all the Gre...,132,4942,0.982,233.63,130.76,66.94,2017-12-10,joshua728
3550672,"Give me your tired, your poor, your huddled masses yearning ...",204,7743,0.92,220.03,159.99,79.47,2017-12-10,chakk
3550673,It is not the mountain we conquer but ourselves.,48,6223,1.001,306.71,251.72,137.76,2017-12-11,joshua728
3550674,"+1 Food, +1 Production, for all desert tiles worked by this ...",87,2762,0.736,180.81,137.6,54.76,2017-12-10,arenasnow
3550675,"As it turns out, Mount Kilimanjaro is not wi-fi enabled, so ...",130,8323,0.91,200.46,151.12,75.72,2017-12-10,joshua728
3550676,"Gruntilda: Banjo's game ends in my tower, turn it up I need ...",447,1392,0.743,180.59,136.32,83.82,2017-12-10,joshua728
3550677,So what? I had my suspicions. I always did. But we're not li...,586,3763,0.985,210.51,163.38,101.41,2017-12-10,arenasnow
3550678,I was selfish to assume you loved me more than you loved you...,103,4668,1.037,218.95,173.77,59.01,2017-12-10,deroche1
3550679,"It's hard to believe when your mind is lost and in need, and...",349,17245,1.063,216.29,180.64,92.22,2017-12-10,joshua728
3550680,I feel like a mouth facilitating the language constructed by...,167,4682,0.93,235.76,125.55,63.36,2017-12-10,joshua728
3550681,I hope to someday have the faith to believe in God as much a...,80,1843,0.946,226.26,188.19,92.11,2017-12-10,flaneur
3550682,Putting more makeup on the masks that we wear. Turning the n...,98,2338,0.972,244.39,166.72,63.35,2017-12-10,joshua728
3550683,I know that you wanna but you can't 'cause you gotta stay co...,115,4463,1.062,250.73,190.04,60.77,2017-12-10,joshua728
3550684,"Plumbers have everything: greed, sex, spirituality, white-kn...",269,5158,0.837,185.71,143.31,76.09,2017-12-11,arenasnow
3550685,"Trust your luck, Taran Wanderer. But don't forget to put out...",71,1595,0.759,216.68,156.9,72.04,2017-12-12,joshua728
3550686,"If you want truth, you should begin by giving it.",49,5404,0.963,271.97,213.73,128.97,2017-12-10,joshua728
3550687,Llonio said life was a net for luck; to Hevydd the Smith lif...,308,5139,0.888,209.55,151.77,79.79,2017-12-10,joshua728
3550688,"""I've heard men complain of doing woman's work, and women co...",276,5706,0.916,190.21,150.55,82.59,2017-12-10,arenasnow
3550689,Often the trouble with magical things. They're never quite w...,77,1876,0.857,258.17,181.27,89.54,2017-12-11,joshua728
3550690,"I have long loved you, and loved you even before I knew that...",67,3967,0.986,293.54,213.44,95.48,2017-12-11,joshua728
3550691,"Hissing in rage, jaws gaping and fangs bared, the serpent sh...",108,2144,0.822,238.32,144.92,51.99,2017-12-10,joshua728
3550692,"Taran of Caer Dallben, do you have any idea what you're sayi...",108,698,0.78,206.14,133.47,57.01,2017-12-14,joshua728
3550693,"All the other kids with the pumped up kicks, you'd better ru...",187,6443,0.99,202.78,162.77,87.78,2017-12-10,arenasnow
3550694,"That is right, but I held something back. I see some real ge...",258,18233,1.078,220.64,185.08,94.76,2017-12-10,deroche1
3550695,"When we joined the Covenant, we took an Oath! According to o...",435,2900,0.902,188.41,145.39,92.24,2017-12-12,joshua728
3550696,Witness my evil dream to rid Mobius of music and fun forever...,269,6838,0.968,205.7,166.54,87.7,2017-12-10,arenasnow
3550697,I've got more sizzle than a rasher of bacon. I'm hungry and ...,106,2212,0.865,200.41,145.19,55.23,2017-12-10,joshua728
3550698,"Kids, there's nothing more cool than being hugged by someone...",423,6500,0.969,223.1,162.5,88.63,2017-12-10,joshua728
3550699,"Blue streak, speeds by. Sonic the Hedgehog! Too fast for the...",184,6316,0.801,202.36,141.88,68.75,2017-12-10,joshua728
3550700,"Triplets born, the throne awaits, a seer warns of a deadly f...",566,2411,0.893,189.74,148.85,93.14,2017-12-10,joshua728
3550701,Fly me to the moon and let me play among the stars. Let me s...,328,17035,1.037,220.74,177.76,90.54,2017-12-10,joshua728
3550702,We're all old enough to know better than to toy with the hea...,76,3024,0.958,247.89,178.44,79.93,2017-12-10,joshua728
3550703,But... this is what I think. Trying to knock others down a p...,652,3000,0.938,209.53,154.85,97.93,2017-12-10,joshua728
3550704,Is getting rid of all the thorns in someone's path really wh...,79,1856,0.94,230.21,185.14,90.0,2017-12-11,joshua728
3550705,"If I can't even manage a polite smile, I'll be in trouble in...",76,1369,0.904,269.26,181.1,110.3,2017-12-11,joshua728
3550706,I want to defeat the me that's dragging this failure around....,181,20686,1.067,215.16,177.79,88.26,2017-12-10,arenasnow
3550707,Hishiro: Um! Can I have... your phone? Kaizaki: Huh? Can you...,278,2693,0.79,183.43,135.92,72.42,2017-12-10,chakk
3550708,You shake my nerves and you rattle my brain; too much love d...,242,8994,0.962,227.44,168.99,82.31,2017-12-10,valikor
3550709,"Hey look, buddy, I'm an Engineer. That means I solve problem...",526,2449,0.868,193.62,145.83,90.74,2017-12-11,arenasnow2
3550710,"At night I'm driving in your car, pretending that we'll leav...",268,16628,1.032,217.9,178.97,90.36,2017-12-10,joshua728
3550711,"Even if you're falling, that's okay. There's a trampoline wa...",100,2189,0.896,263.45,170.33,60.03,2017-12-10,joshua728
3550712,"You used to get it in your fishnets, now you only get it in ...",156,2091,0.937,236.15,142.13,56.73,2017-12-10,joshua728
3550713,"Everybody stutters one way or the other, so check my message...",179,9600,0.969,229.86,162.38,81.76,2017-12-10,joshua728
3550714,Maybe someday we can talk about our past and we can talk abo...,162,23094,1.075,213.56,187.96,88.14,2017-12-10,joshua728
3550715,And I taught myself how to forget that sometimes life will t...,214,22076,1.093,229.72,190.62,92.44,2017-12-10,joshunq
3550716,"Here we go, off the rails, don't you know it's time to raise...",208,19019,1.028,233.03,180.22,86.29,2017-12-11,joshua728
3550717,Oh we can zoom all the way to the moon from this great wide ...,681,1687,0.839,184.16,138.15,90.25,2017-12-10,deroche1
3550718,"Men, in as much as I am the reigning officer in charge here,...",249,18739,1.034,221.51,175.6,85.68,2017-12-10,deroche1
3550719,"Now who knows, that had your twigs been bent in another dire...",298,6192,0.903,188.25,151.69,81.95,2017-12-10,arenasnow
3550720,"I feel the Aryan in my blood, it's scarier than a Blood. Bee...",274,6895,0.975,202.06,161.42,88.02,2017-12-11,arenasnow
3550721,"Now, in a perfect world, I probably won't be insensitive. Co...",232,8502,0.968,213.24,165.74,84.38,2017-12-10,joshua728
3550723,"See, in the perfect world, I would be perfect, world. I don'...",211,9248,0.992,208.33,170.8,87.88,2017-12-10,joshua728
3550724,"How does it feel? Aw, how does it feel? To be on your own. W...",129,1932,0.843,213.87,134.05,51.12,2017-12-11,joshua728
3550725,"Kepler's laws, although not rigidly true, are sufficiently n...",705,2906,0.946,194.42,157.2,98.48,2017-12-10,joshua728
3550726,"Resistance is usually ascribed to bodies at rest, and impuls...",238,8359,0.974,216.07,171.96,85.29,2017-12-10,arenasnow
3550727,A straight line is said to have been cut in extreme and mean...,150,23216,1.096,216.89,184.17,88.17,2017-12-10,joshua728
3550728,"I know that I am mortal by nature and ephemeral, but when I ...",236,9043,0.994,221.25,173.02,86.61,2017-12-10,joshua728
3550729,I can always tell when you're lying. I also know that you ca...,249,20395,1.027,226.83,179.72,83.68,2017-12-10,joshua728
3550730,Everyone's counting on me to cheer them up and give them lot...,177,10727,1.046,236.18,145.19,68.21,2017-12-10,joshua728
3550731,Education is the most powerful weapon which you can use to c...,76,2060,0.998,289.62,225.04,118.7,2017-12-10,joshua728
3550732,"If you think that you are going to love something, give it a...",65,5443,1.111,301.39,251.31,149.52,2017-12-11,joshua728
3550733,"And can you feel the love tonight, it is where we are. It's ...",116,2183,0.947,244.81,156.82,57.95,2017-12-10,joshua728
3550734,"Mail's here. Here's the mail, it never fails, it makes me wa...",123,8442,0.939,212.93,163.89,78.6,2018-02-14,arenasnow
3550738,"I must confess, I've made a mess of what should be a small s...",125,4716,0.941,202.57,136.42,65.07,2018-02-14,arenasnow
3550739,The history of all hitherto existing society is the history ...,438,5109,0.921,189.67,153.2,83.51,2018-02-15,joshua728
3550740,"You are the breath of your Creator, and as he breathes in an...",535,6047,0.971,209.22,161.11,88.06,2018-02-14,joshua728
3550741,"""I will always speak the truth to you, Herb Asher,"" the boy ...",434,4413,0.918,195.56,151.7,83.45,2018-02-14,joshua728
3550742,"You can work back to God from the phenomenal universe, or yo...",629,7932,1.032,213.33,171.55,100.52,2018-02-14,joshua728
3550743,"Come, you spirits that tend on mortal thoughts, unsex me her...",148,4523,0.91,193.3,127.74,61.54,2018-02-14,joshua728
3550744,Show me a man or a woman alone and I'll show you a saint. Gi...,504,5620,0.965,227.27,159.78,87.56,2018-02-15,joshua728
3550745,The Lord is my shepherd. I shall not want for nothing. He ma...,183,4290,0.919,223.85,124.7,62.86,2018-02-14,joshua728
3550746,"There are all sorts of dream interpretations, Freud's being ...",244,8390,0.975,240.04,165.48,82.86,2018-02-14,joshua728
3550747,Who gets to be best-liked in any community? Who is the most ...,202,8613,0.981,222.88,174.48,83.32,2018-02-14,slekap
3550748,A squid eating dough in a polyethylene bag is fast and bulbo...,71,950,0.767,236.8,169.16,95.77,2018-02-17,joshua728
3550749,"It wasn't something that I thought about, but I knew that yo...",354,18671,1.041,213.82,186.26,88.91,2018-02-14,performancecheck
3550751,"I want you to know that the day you saw something in me, my ...",79,3116,1.053,239.45,202.37,87.23,2018-02-14,keegant
3550752,"An investment operation is one, which upon thorough analysis...",176,7453,0.919,219.36,161.01,80.81,2018-02-14,joshua728
3550755,"My baby's fit like a daydream, walking with his hair down, I...",293,8138,0.976,211.77,174.03,84.68,2018-02-14,arenasnow
3550756,I could tell you I was fragile. I could tell you I was weak....,410,7887,0.986,209.38,167.6,86.95,2018-02-14,chakk
3550757,"Life, liberty and the pursuit of happiness. We fought for th...",375,6140,0.893,196.01,153.26,77.18,2018-02-14,chakk
3550758,"Ooh, if the shoe fits, wear it. If New York's in debt, why s...",312,3695,0.849,193.57,142.98,72.72,2018-02-14,joshua728
3550761,Have you ever heard the tragedy of Darth Plagueis the Wise? ...,781,2832,0.928,201.37,154.18,97.82,2018-02-14,joshua728
3550763,I'm the tallest of mountains. I am the roughest of waves. I'...,241,19848,1.029,213.48,177.65,83.32,2018-02-14,arenasnow
3550764,Control over consciousness cannot be institutionalized. As s...,856,2945,0.923,189.78,153.57,96.65,2018-02-14,chakk
3550765,"Applause! Applause! No, wait, wait. Dear studio audience, I'...",189,3940,0.881,195.79,122.6,60.67,2018-02-14,arenasnow
3550766,I started the day with some nothin' tea. Nothin' tea is easy...,204,8202,0.99,215.72,169.61,87.1,2018-02-14,arenasnow
3550773,"He became thinner and taller, and his face took on a kind of...",112,4352,1.047,255.17,166.64,57.25,2018-02-14,joshua728
3550774,"One, don't pick up the phone. You know he's only calling 'ca...",281,15559,1.034,213.38,182.55,90.55,2018-02-14,zigfried
3550777,"The war against the orcs took its toll, and the prisoners of...",387,7560,0.987,210.27,165.99,85.12,2018-02-14,arenasnow
3550778,He felt that he could not divert people's hatred from himsel...,353,7184,0.979,214.05,162.57,85.29,2018-02-14,joshua728
3550779,"They're black, they're brown, they're up, they're down. They...",230,7474,0.902,234.28,170.5,79.25,2018-02-14,joshua728
3550780,The majority of persons with schizophrenia have residual dis...,233,7105,0.89,218.18,152.71,75.46,2018-02-14,joshua728
3550782,The Aurora Borealis? At this time of year? At this time of d...,132,1821,0.837,229.5,131.78,50.92,2018-02-15,joshua728
3550783,The idea of having nations and governments is as foolish as ...,257,8330,0.965,232.79,166.69,82.25,2018-02-14,joshua728
3550784,"Then, waiting, I heard the silence pouring from them. The au...",461,6021,0.96,223.09,163.06,87.87,2018-02-14,joshua728
3550786,Maybe there aren't any such things as good friends or bad fr...,422,15516,1.045,208.82,178.31,92.7,2018-02-14,joshua728
3550787,But here we will not try to pass judgment on the objective v...,458,5758,0.964,213.34,162.4,87.23,2018-02-14,joshua728
3550788,"The answer was a perfectly indescribable hiss, and Mowgli ki...",288,6852,0.932,179.85,152.27,79.89,2018-02-14,joshua728
3550789,A dream is a gift from God. When you have a great yearning f...,275,18725,1.043,229.69,182.18,86.87,2018-02-14,joshua728
3550790,"Meanwhile he himself, the Prince, had risen to his feet; the...",256,18947,1.023,213.85,181.23,83.5,2018-02-14,add4line
3550791,"I could tell from the set of his lips, he would say no more ...",333,18219,1.037,215.63,178.52,86.1,2018-02-14,joshua728
3550792,I know more about the private lives of celebrities than I do...,227,20665,1.053,218.09,180.9,85.47,2018-02-14,iamtyperacer
3550794,There was a high piercing shriek. Tim looked back to see the...,311,4983,0.939,212.49,153.7,80.54,2018-02-14,joshua728
3550796,"I'll live on and carry your name, and be what you always tho...",163,10775,1.039,208.53,142.39,66.71,2018-02-14,deroche1
3550797,Learn to see me as a brother instead of two distant stranger...,241,20614,1.071,224.38,183.89,87.58,2018-02-14,quitless
3550798,You are beautiful on the inside; you are innocence personifi...,116,1981,0.886,228.16,144.2,54.18,2018-02-14,typos_z
3550800,"I can lead with pride, I can make us strong. I'll be satisfi...",536,14506,1.042,206.0,172.71,91.08,2018-02-14,joshua728
3550801,What do I do? System Architecture. Networking and Security. ...,562,4377,0.886,200.61,145.52,80.15,2018-02-14,joshua728
3550803,Tough and tuff are two different words. Tough is the same as...,130,1713,0.866,204.3,128.59,52.82,2018-02-15,joshua728
3550804,We're living on borrowed time here. Every minute of our life...,270,19930,1.039,213.97,180.23,85.05,2018-02-14,arenasnow
3550806,"Is anyone there? Who survived? Somebody new? Anyone else, bu...",147,4372,0.868,222.45,131.33,60.02,2018-02-14,joshua728
3550807,Everything that lives is designed to end. We are perpetually...,157,5047,0.962,228.7,137.76,65.38,2018-02-14,joshua728
3550809,"I'm waking up to ash and dust, I wipe my brow and I sweat my...",98,988,0.828,242.82,144.26,58.77,2018-02-15,joshua728
3550810,"If cows and horses or lions had hands, or could draw with th...",229,8540,0.976,211.73,172.04,83.62,2018-02-14,performancecheck
3550811,It is now time to make it unclear. To write off lines that d...,290,21683,1.083,218.9,185.91,89.74,2018-02-14,slekap
3550813,I stopped in the middle of that building and I saw - the sky...,452,14511,1.035,212.79,173.51,90.25,2018-02-14,quitless
3550814,"Heraclitus: ""They vainly purify themselves with blood when t...",352,5751,0.983,213.02,166.09,85.66,2018-02-14,arenasnow
3550816,"In the early days of America, when men wore ruffles on their...",354,16581,1.023,202.84,173.21,85.08,2018-02-14,slekap
3550818,Now this is a story all about how my life got flipped - turn...,573,4482,0.902,194.98,151.54,81.59,2018-02-14,chakk
3550820,There's no truth in the courtroom. There's just your version...,210,19015,1.035,217.34,184.01,87.06,2018-02-14,arenasnow
3550822,"I love Canada. I miss the heat of India, the food, the house...",390,6103,0.964,200.15,154.65,86.33,2018-02-14,arenasnow
3550823,In preparing for battle I have always found that plans are u...,98,1063,0.901,218.14,145.1,60.86,2018-02-14,joshua728
3550824,"Why are we still here? Just to suffer? Every night, I can fe...",344,5999,0.964,209.12,162.16,87.94,2018-02-14,chakk
3550826,"Schneizel has surrendered to me. As a result of this, I am i...",415,4333,0.907,192.43,148.82,81.37,2018-02-14,arenasnow
3550827,"Cherry no longer looked sick, only sad. ""I'll bet you think ...",320,5196,0.906,193.83,153.68,81.65,2018-02-14,arenasnow
3550828,I suggest you change your diet. It could lead to high blood ...,130,1928,0.909,233.74,147.23,55.69,2018-02-14,joshua728
3550831,"Yeah, over here. It's only been a year. I was dirt broke, no...",88,1233,0.842,220.46,160.92,72.99,2018-02-14,joshua728
3550832,"As you can see, she hasn't met him yet. She already fell in ...",162,4330,0.939,219.39,136.86,65.32,2018-02-14,typos_z
3550834,"""No one ever arrives home,"" she says amiably. ""But when the ...",128,4210,0.876,221.1,126.48,60.48,2018-02-14,joshua728
3550835,"As, before putting up a large building, the architect survey...",565,5341,0.945,210.02,158.36,85.19,2018-02-14,joshua728
3550836,Well I watch you tangle every weekend. It might start differ...,220,21204,1.05,205.05,176.49,84.82,2018-02-14,arenasnow
3550838,"This is where it all began, gentlemen. The birthplace of Hoo...",497,5221,0.948,201.23,157.84,85.54,2018-02-14,joshua728
3550839,Data creation is exploding. With all the selfies and useless...,614,2759,0.943,209.37,152.73,96.06,2018-02-14,joshua728
3550840,"D'Artagnan stepped forward. 'Before God and men,' he said, '...",226,3538,0.765,211.78,137.74,65.6,2018-02-14,joshua728
3550841,D'Artagnan continued: 'Before God and men I charge this woma...,698,1378,0.858,183.43,140.28,90.95,2018-02-15,joshua728
3550842,"'Lord de Winter, will you bring your charges next,' said Ath...",577,2381,0.843,181.42,138.38,78.29,2018-02-14,arenasnow
3550843,The others standing round felt a thrill of horror at this di...,765,1653,0.864,172.22,141.07,91.67,2018-02-14,arenasnow
3550844,Athos now stepped forward. As he gazed at his former wife he...,541,1688,0.876,213.94,141.97,91.78,2018-02-14,joshua728
3550847,"I get up when I want, except on Wednesdays when I get rudely...",382,6148,0.963,199.23,161.53,87.21,2018-02-15,arenasnow2
3550848,"Love in the nineties is paranoid. On sunny beaches, take you...",231,20526,1.055,219.81,188.47,85.89,2018-02-14,joshua728
3550849,This is the first day of my life. I swear I was born right i...,332,16856,1.043,217.03,179.65,91.59,2018-02-14,joshua728
3550850,"The letter she left was one line long. ""Goodbye forever I'm ...",152,4743,0.945,213.61,128.21,64.43,2018-02-14,joshua728
